title,id,chart,90% EX bpi,avg EX,90% EX,wr EX,max EX,diff,avg money,wr money,players,mfcs,notecount,untimed
ENDYMION,756.0,CDP,105.76,525.0,2511.0,1944.0,2790.0,19.0,285278.0,870250.0,286.0,0.0,930.0,30.0
BREAKING THE FUTURE,1188.0,CDP,105.22,724.0,2443.0,1959.0,2715.0,19.0,400197.0,886950.0,51.0,0.0,905.0,38.0
EGOISM 440,640.0,CDP,104.7,369.0,2157.0,1792.0,2397.0,19.0,249550.0,908150.0,410.0,0.0,799.0,1.0
BREAKING THE FUTURE,1188.0,CSP,104.22,1071.0,2605.0,2197.0,2895.0,19.0,544822.0,911730.0,281.0,0.0,965.0,41.0
Over The &ldquo;Period&rdquo;,648.0,CDP,103.9,546.0,2116.0,1827.0,2352.0,19.0,354282.0,924670.0,333.0,0.0,784.0,25.0
PARANOiA Revolution,479.0,CDP,102.21,621.0,2022.0,1868.0,2247.0,19.0,427270.0,956880.0,506.0,0.0,749.0,14.0
Lachryma《Re:Queen&rsquo;M》,920.0,CDP,102.17,1036.0,2475.0,2281.0,2751.0,19.0,565117.0,955270.0,212.0,0.0,917.0,12.0
鳳,1234.0,CSP,102.13,941.0,2867.0,2640.0,3186.0,19.0,391287.0,948200.0,359.0,0.0,1062.0,145.0
MAX 360,815.0,CDP,102.04,860.0,2586.0,2393.0,2874.0,19.0,462551.0,957080.0,327.0,0.0,958.0,10.0
鳳,1234.0,CDP,101.77,978.0,2621.0,2449.0,2913.0,19.0,447980.0,955260.0,118.0,0.0,971.0,135.0
Pluto Relinquish,253.0,CDP,101.52,799.0,1549.0,1468.0,1722.0,18.0,668601.0,968110.0,397.0,0.0,574.0,12.0
VOLAQUAS,1150.0,CDP,100.41,1063.0,2583.0,2530.0,2871.0,19.0,554335.0,979400.0,69.0,0.0,957.0,10.0
Valkyrie dimension,395.0,CDP,100.36,1131.0,1833.0,1801.0,2037.0,19.0,751458.0,979880.0,519.0,0.0,679.0,45.0
令和,906.0,CDP,100.33,776.0,1571.0,1546.0,1746.0,18.0,645904.0,981740.0,312.0,0.0,582.0,14.0
Lachryma《Re:Queen&rsquo;M》,920.0,EDP,100.21,1179.0,2316.0,2287.0,2574.0,18.0,661992.0,982310.0,449.0,0.0,858.0,12.0
Avenger,857.0,CDP,90.96,1225.0,2205.0,2229.0,2451.0,18.0,706373.0,989220.0,221.0,0.0,817.0,11.0
Pluto The First,373.0,CDP,85.78,767.0,1441.0,1467.0,1602.0,18.0,663670.0,990340.0,391.0,0.0,534.0,53.0
Pluto The First,373.0,EDP,83.67,781.0,1420.0,1449.0,1578.0,18.0,704362.0,992250.0,482.0,0.0,526.0,5.0
量子の海のリントヴルム,1090.0,CDP,82.79,1231.0,2165.0,2211.0,2406.0,18.0,721144.0,991870.0,210.0,0.0,802.0,1.0
POSSESSION,375.0,CDP,80.0,872.0,1755.0,1802.0,1950.0,19.0,650745.0,993200.0,628.0,0.0,650.0,10.0
DEAD END (&quot;GROOVE RADAR&quot; Special),235.0,CDP,79.6,809.0,1431.0,1468.0,1590.0,18.0,686228.0,991690.0,550.0,0.0,530.0,75.0
令和,906.0,CSP,79.52,1020.0,1674.0,1715.0,1860.0,18.0,753157.0,992730.0,855.0,0.0,620.0,15.0
POSSESSION (20th Anniversary Mix),813.0,CDP,78.2,910.0,2027.0,2088.0,2253.0,18.0,537626.0,991870.0,369.0,0.0,751.0,129.0
Prey,809.0,CDP,58.23,631.0,1166.0,1232.0,1296.0,18.0,688747.0,999360.0,415.0,0.0,432.0,19.0
Neutrino,752.0,CDP,56.7,878.0,1582.0,1674.0,1758.0,18.0,703046.0,995800.0,422.0,0.0,586.0,21.0
Healing-D-Vision,169.0,CDP,53.58,912.0,1401.0,1482.0,1557.0,18.0,790107.0,997730.0,548.0,0.0,519.0,2.0
Trigger,326.0,CDP,53.07,898.0,1552.0,1649.0,1725.0,18.0,717376.0,995130.0,489.0,0.0,575.0,39.0
EGOISM 440,640.0,EDP,49.14,896.0,1563.0,1670.0,1737.0,17.0,725208.0,999330.0,847.0,0.0,579.0,6.0
New Decade,369.0,CDP,48.36,856.0,1485.0,1588.0,1650.0,18.0,718659.0,997950.0,492.0,0.0,550.0,31.0
ENDYMION,756.0,CSP,48.11,925.0,2573.0,2773.0,2859.0,19.0,487843.0,991360.0,1183.0,0.0,953.0,28.0
MAX.(period),641.0,CDP,45.11,762.0,1468.0,1581.0,1632.0,18.0,675696.0,998770.0,444.0,0.0,544.0,4.0
Prey,809.0,EDP,44.67,874.0,1601.0,1723.0,1779.0,18.0,695625.0,998780.0,611.0,0.0,593.0,18.0
ENDYMION,756.0,EDP,44.58,936.0,2070.0,2236.0,2301.0,18.0,595891.0,995770.0,532.0,0.0,767.0,26.0
New Millennium,1227.0,CSP,42.77,1285.0,2249.0,2424.0,2499.0,18.0,715160.0,992670.0,498.0,0.0,833.0,33.0
PARANOiA ～HADES～,251.0,CDP,42.02,932.0,1765.0,1908.0,1962.0,18.0,685001.0,998860.0,543.0,0.0,654.0,1.0
Valkyrie dimension,395.0,EDP,41.32,1148.0,1628.0,1745.0,1809.0,18.0,827025.0,998060.0,628.0,0.0,603.0,12.0
鳳,1234.0,EDP,41.28,888.0,2092.0,2271.0,2325.0,18.0,559250.0,992380.0,154.0,0.0,775.0,23.0
Pluto Relinquish,253.0,EDP,41.16,917.0,1441.0,1552.0,1602.0,18.0,778164.0,999500.0,620.0,0.0,534.0,3.0
Fascination MAXX,160.0,CDP,40.7,1123.0,1773.0,1911.0,1971.0,18.0,775363.0,998210.0,479.0,0.0,657.0,3.0
First Time,820.0,CDP,40.12,1041.0,1517.0,1631.0,1686.0,18.0,814186.0,999450.0,511.0,0.0,562.0,10.0
ドーパミン,661.0,EDP,40.1,1103.0,1887.0,2040.0,2097.0,17.0,735124.0,997750.0,758.0,0.0,699.0,3.0
CHAOS Terror-Tech Mix,814.0,CDP,39.25,1025.0,1795.0,1944.0,1995.0,18.0,716682.0,999490.0,488.0,0.0,665.0,25.0
Come To m1dy,1225.0,CDP,38.1,1082.0,1765.0,1911.0,1962.0,17.0,758365.0,999490.0,174.0,0.0,654.0,5.0
VOLAQUAS,1150.0,CSP,38.06,1267.0,2762.0,3007.0,3069.0,19.0,603468.0,993670.0,279.0,0.0,1023.0,30.0
ORCA,837.0,EDP,37.31,1017.0,1854.0,2015.0,2061.0,17.0,701995.0,999540.0,514.0,0.0,687.0,6.0
Tohoku EVOLVED,471.0,CDP,37.22,967.0,1900.0,2068.0,2112.0,18.0,656188.0,996770.0,463.0,0.0,704.0,27.0
BREAKING THE FUTURE,1188.0,EDP,37.17,1190.0,2084.0,2263.0,2316.0,17.0,714495.0,997440.0,162.0,0.0,772.0,33.0
Cosy Catastrophe,755.0,CDP,37.0,1019.0,1752.0,1902.0,1947.0,18.0,730696.0,999550.0,451.0,0.0,649.0,11.0
シュレーディンガーの猫,817.0,CDP,36.59,1135.0,2011.0,2186.0,2235.0,18.0,715867.0,999510.0,596.0,0.0,745.0,7.0
SISYPHUS,1226.0,CDP,36.41,1178.0,1852.0,2007.0,2058.0,18.0,770401.0,999490.0,176.0,0.0,686.0,33.0
EGOISM 440,640.0,CSP,35.85,1036.0,2189.0,2389.0,2433.0,19.0,627358.0,999560.0,1754.0,0.0,811.0,6.0
Anti-Matter,341.0,CDP,35.62,1268.0,1779.0,1921.0,1977.0,18.0,828017.0,999440.0,583.0,0.0,659.0,36.0
Lachryma《Re:Queen&rsquo;M》,920.0,CSP,35.61,1080.0,2600.0,2842.0,2889.0,19.0,561083.0,993860.0,896.0,0.0,963.0,13.0
Blew My Mind,560.0,CDP,35.46,1010.0,1911.0,2083.0,2124.0,18.0,667785.0,999040.0,420.0,0.0,708.0,48.0
VOLAQUAS,1150.0,EDP,35.4,1338.0,2316.0,2520.0,2574.0,18.0,725960.0,998100.0,237.0,0.0,858.0,12.0
New Millennium,1227.0,CDP,35.18,1233.0,2122.0,2309.0,2358.0,18.0,723874.0,998520.0,164.0,0.0,786.0,33.0
IX,583.0,CDP,35.06,1165.0,2030.0,2210.0,2256.0,18.0,711617.0,999540.0,615.0,0.0,752.0,52.0
888,336.0,CDP,35.05,966.0,1836.0,2002.0,2040.0,18.0,679046.0,995580.0,447.0,0.0,680.0,12.0
The legend of MAX(X-Special),320.0,CDP,34.71,945.0,1379.0,1494.0,1533.0,17.0,813939.0,999610.0,679.0,0.0,511.0,7.0
Over The &ldquo;Period&rdquo;,648.0,EDP,34.7,1057.0,2035.0,2221.0,2262.0,18.0,661735.0,992830.0,541.0,0.0,754.0,41.0
SABER WING (Akira Ishihara Headshot mix),311.0,CDP,34.62,881.0,1363.0,1480.0,1515.0,17.0,779738.0,999650.0,708.0,0.0,505.0,25.0
Tohoku EVOLVED,471.0,EDP,34.53,1091.0,1711.0,1859.0,1902.0,17.0,777799.0,999570.0,667.0,0.0,634.0,8.0
Valkyrie dimension,395.0,CSP,34.5,953.0,2041.0,2231.0,2268.0,19.0,605181.0,996000.0,1558.0,0.0,756.0,44.0
Fascination ～eternal love mix～,159.0,EDP,34.48,957.0,1584.0,1724.0,1761.0,17.0,751934.0,999630.0,683.0,0.0,587.0,3.0
Evans,994.0,EDP,34.15,1147.0,1709.0,1854.0,1899.0,17.0,803149.0,999550.0,385.0,0.0,633.0,8.0
最速最高シャッターガール,1142.0,CDP,34.12,1270.0,1900.0,2062.0,2112.0,18.0,797105.0,995600.0,236.0,0.0,704.0,28.0
Avenger,857.0,EDP,33.8,1022.0,1660.0,1807.0,1845.0,17.0,762213.0,999620.0,544.0,0.0,615.0,1.0
NGO,250.0,CDP,33.52,789.0,1169.0,1269.0,1299.0,17.0,805902.0,999700.0,586.0,0.0,433.0,10.0
&Delta;MAX,402.0,EDP,33.28,1077.0,1584.0,1720.0,1761.0,17.0,808543.0,999590.0,722.0,0.0,587.0,14.0
Over The &ldquo;Period&rdquo;,648.0,CSP,33.13,1022.0,2184.0,2391.0,2427.0,19.0,613707.0,994320.0,1320.0,0.0,809.0,28.0
Ambivalent Vermilia,1251.0,EDP,33.11,1434.0,2154.0,2341.0,2394.0,18.0,795139.0,996040.0,102.0,0.0,798.0,27.0
New Century,700.0,CDP,33.07,1159.0,1895.0,2065.0,2106.0,18.0,728929.0,999590.0,486.0,0.0,702.0,104.0
Puberty Dysthymia,806.0,EDP,32.95,941.0,1568.0,1710.0,1743.0,17.0,738419.0,999670.0,569.0,0.0,581.0,36.0
Eon Break,1166.0,CDP,32.92,781.0,1674.0,1833.0,1860.0,18.0,611791.0,995920.0,130.0,0.0,620.0,24.0
Neutrino,752.0,EDP,32.82,921.0,1404.0,1527.0,1560.0,16.0,788351.0,999670.0,684.0,0.0,520.0,23.0
Electronic Sports Complex,1223.0,EDP,32.73,1247.0,1671.0,1807.0,1857.0,17.0,854528.0,998870.0,235.0,0.0,619.0,14.0
ｍｅｍｏｒｙ／／ＤＡＴＡＭＯＳＨＥＲ,1224.0,EDP,31.88,1159.0,1628.0,1767.0,1809.0,16.0,833385.0,999580.0,226.0,0.0,603.0,4.0
HyperTwist,938.0,CDP,31.66,1129.0,1787.0,1949.0,1986.0,18.0,771490.0,998450.0,434.0,0.0,662.0,15.0
MAX 300(X-Special),297.0,CDP,31.17,976.0,1458.0,1588.0,1620.0,18.0,797398.0,999680.0,638.0,0.0,540.0,28.0
Spanish Snowy Dance,545.0,CDP,31.03,1385.0,2022.0,2201.0,2247.0,18.0,809458.0,999540.0,574.0,0.0,749.0,28.0
Come to Life,734.0,CDP,30.98,1234.0,1998.0,2182.0,2220.0,18.0,750398.0,999620.0,657.0,0.0,740.0,54.0
SWEET HOME PARTY,899.0,EDP,30.81,878.0,1231.0,1338.0,1368.0,16.0,833608.0,999700.0,475.0,0.0,456.0,10.0
Trigger,326.0,EDP,30.62,1010.0,1395.0,1516.0,1551.0,16.0,835850.0,999650.0,512.0,0.0,517.0,31.0
鳳,1234.0,ESP,30.32,1102.0,2235.0,2453.0,2484.0,18.0,639933.0,999690.0,515.0,0.0,828.0,29.0
患部で止まってすぐ溶ける～狂気の優曇華院,1069.0,CDP,30.01,1481.0,2084.0,2268.0,2316.0,18.0,830355.0,999520.0,302.0,0.0,772.0,12.0
PARANOiA Revolution,479.0,CSP,30.01,1057.0,2081.0,2284.0,2313.0,19.0,658576.0,999710.0,1774.0,0.0,771.0,18.0
London EVOLVED ver.A,468.0,CDP,29.93,1151.0,1595.0,1735.0,1773.0,17.0,840332.0,999620.0,582.0,0.0,591.0,2.0
嘆きの樹,614.0,CDP,29.67,1065.0,1881.0,2062.0,2091.0,18.0,710147.0,999710.0,584.0,0.0,697.0,31.0
DEADLOCK -Out Of Reach-,966.0,EDP,29.66,1239.0,1836.0,2003.0,2040.0,17.0,802011.0,999630.0,402.0,0.0,680.0,28.0
London EVOLVED ver.B,469.0,CDP,29.5,1327.0,1827.0,1988.0,2031.0,17.0,837773.0,999570.0,500.0,0.0,677.0,33.0
Aria,1196.0,EDP,29.05,1414.0,1871.0,2032.0,2079.0,17.0,858234.0,999530.0,104.0,0.0,693.0,32.0
量子の海のリントヴルム,1090.0,CSP,28.92,1293.0,2265.0,2484.0,2517.0,18.0,721953.0,998740.0,744.0,0.0,839.0,5.0
TAKE ME HIGHER,1156.0,EDP,28.88,819.0,1112.0,1210.0,1236.0,16.0,849654.0,999740.0,249.0,0.0,412.0,9.0
SISYPHUS,1226.0,CSP,28.88,1187.0,1881.0,2059.0,2091.0,18.0,766821.0,996300.0,527.0,0.0,697.0,31.0
Emera,743.0,CDP,28.85,1118.0,1636.0,1786.0,1818.0,18.0,802696.0,999680.0,674.0,0.0,606.0,52.0
Eon Break,1166.0,EDP,28.56,1037.0,1660.0,1818.0,1845.0,16.0,767765.0,999730.0,287.0,0.0,615.0,5.0
Pursuer,797.0,EDP,28.51,903.0,1482.0,1624.0,1647.0,17.0,751006.0,999770.0,510.0,0.0,549.0,21.0
bag,104.0,CDP,28.49,777.0,972.0,1052.0,1080.0,13.0,892136.0,999720.0,390.0,0.0,360.0,0.0
冥,404.0,CDP,28.45,1305.0,1884.0,2057.0,2094.0,18.0,817506.0,999630.0,750.0,0.0,698.0,14.0
MAX 360,815.0,EDP,28.35,1382.0,2230.0,2443.0,2478.0,18.0,763365.0,999650.0,792.0,0.0,826.0,3.0
ウサテイ,1068.0,CDP,28.26,1197.0,1582.0,1720.0,1758.0,17.0,863310.0,999620.0,358.0,0.0,586.0,3.0
JOMANDA,613.0,CDP,28.21,1215.0,1701.0,1855.0,1890.0,17.0,834068.0,999650.0,653.0,0.0,630.0,8.0
東京神話,945.0,EDP,28.16,1275.0,1814.0,1980.0,2016.0,17.0,825144.0,999640.0,495.0,0.0,672.0,13.0
Triple Counter,742.0,EDP,27.97,1129.0,1906.0,2091.0,2118.0,17.0,739714.0,999730.0,784.0,0.0,706.0,11.0
Idola,599.0,CDP,27.93,1394.0,1933.0,2108.0,2148.0,17.0,829675.0,999600.0,622.0,0.0,716.0,63.0
TRIP MACHINE EVOLUTION,480.0,EDP,27.84,1034.0,1549.0,1695.0,1722.0,17.0,798744.0,999730.0,709.0,0.0,574.0,16.0
MAX.(period),641.0,EDP,27.76,1008.0,1385.0,1510.0,1539.0,16.0,844942.0,999710.0,660.0,0.0,513.0,3.0
Come To m1dy,1225.0,EDP,27.22,1217.0,1663.0,1814.0,1848.0,16.0,846210.0,999660.0,245.0,0.0,616.0,7.0
Poochie,697.0,EDP,27.14,994.0,1719.0,1889.0,1911.0,15.0,719547.0,999780.0,783.0,0.0,637.0,35.0
New Decade,369.0,EDP,26.94,1056.0,1439.0,1570.0,1599.0,17.0,845178.0,999710.0,710.0,0.0,533.0,21.0
伐折羅-vajra-,1182.0,CDP,26.73,1280.0,2227.0,2448.0,2475.0,18.0,724656.0,997360.0,150.0,0.0,825.0,7.0
Pluto,252.0,CDP,26.6,964.0,1433.0,1570.0,1593.0,17.0,805349.0,999770.0,646.0,0.0,531.0,6.0
SISYPHUS,1226.0,EDP,26.51,1335.0,1736.0,1890.0,1929.0,17.0,867332.0,999610.0,239.0,0.0,643.0,29.0
Remain,632.0,EDP,26.32,874.0,1166.0,1272.0,1296.0,16.0,858985.0,999760.0,643.0,0.0,432.0,5.0
Fascination MAXX,160.0,EDP,26.21,1045.0,1703.0,1871.0,1893.0,17.0,759767.0,999780.0,736.0,0.0,631.0,3.0
The History of the Future,905.0,EDP,26.13,1321.0,1709.0,1861.0,1899.0,17.0,873735.0,999620.0,461.0,0.0,633.0,2.0
鳳,1234.0,DDP,26.11,1230.0,1644.0,1794.0,1827.0,16.0,846118.0,999670.0,200.0,0.0,609.0,70.0
IX,583.0,EDP,26.0,1320.0,1949.0,2136.0,2166.0,17.0,804943.0,999700.0,775.0,0.0,722.0,22.0
TRIP MACHINE EVOLUTION,480.0,CDP,25.94,1249.0,1763.0,1929.0,1959.0,18.0,828874.0,999700.0,555.0,0.0,653.0,15.0
Fascination ～eternal love mix～,159.0,CDP,25.81,891.0,1574.0,1732.0,1749.0,17.0,720145.0,999830.0,634.0,0.0,583.0,2.0
世界の果てに約束の凱歌を -DDR Extended Megamix-,986.0,EDP,25.72,1598.0,2084.0,2272.0,2316.0,17.0,866577.0,999560.0,394.0,0.0,772.0,23.0
Pursuer,797.0,DDP,25.4,731.0,1123.0,1233.0,1248.0,14.0,785810.0,999850.0,526.0,0.0,416.0,16.0
ホーンテッド★メイドランチ,897.0,CDP,25.36,1065.0,1811.0,1993.0,2013.0,17.0,737639.0,999220.0,530.0,0.0,671.0,5.0
ENDYMION,756.0,DDP,25.36,1037.0,1614.0,1773.0,1794.0,15.0,779115.0,999790.0,850.0,0.0,598.0,18.0
MEGALOVANIA,1071.0,CDP,25.19,1713.0,2289.0,2501.0,2544.0,18.0,783684.0,999570.0,345.0,0.0,848.0,381.0
RЁVOLUTIФN,553.0,CDP,25.18,1381.0,2054.0,2254.0,2283.0,17.0,801925.0,999710.0,701.0,0.0,761.0,17.0
Battle Against a True Hero,1211.0,CDP,24.82,1346.0,1960.0,2150.0,2178.0,18.0,779119.0,994860.0,69.0,0.0,726.0,169.0
Spanish Snowy Dance,545.0,EDP,24.75,1251.0,1741.0,1907.0,1935.0,16.0,830754.0,999720.0,688.0,0.0,645.0,44.0
Battle Against a True Hero,1211.0,CSP,24.67,1207.0,1941.0,2135.0,2157.0,18.0,722513.0,999780.0,305.0,0.0,719.0,152.0
DDR MEGAMIX,810.0,CDP,24.45,1428.0,1992.0,2183.0,2214.0,17.0,832937.0,999690.0,577.0,0.0,738.0,24.0
HAPPY☆LUCKY☆YEAPPY,639.0,EDP,24.14,1008.0,1417.0,1554.0,1575.0,16.0,832358.0,999790.0,599.0,0.0,525.0,8.0
out of focus,751.0,CDP,24.06,1122.0,1522.0,1667.0,1692.0,16.0,850845.0,999750.0,511.0,0.0,564.0,2.0
Monkey Business,525.0,CDP,24.02,1305.0,1873.0,2056.0,2082.0,16.0,812254.0,999740.0,723.0,0.0,694.0,59.0
out of focus,751.0,EDP,23.93,808.0,1120.0,1228.0,1245.0,15.0,831940.0,999830.0,819.0,0.0,415.0,36.0
PARANOiA Revolution,479.0,EDP,23.86,1214.0,1825.0,2006.0,2028.0,18.0,796469.0,999780.0,876.0,0.0,676.0,18.0
新蛇姫,1147.0,EDP,23.78,1375.0,1728.0,1884.0,1920.0,17.0,887074.0,999640.0,264.0,0.0,640.0,9.0
We're so Happy,991.0,EDP,23.78,1267.0,1895.0,2083.0,2106.0,16.0,801267.0,999770.0,460.0,0.0,702.0,6.0
S!ck,730.0,EDP,23.72,1146.0,1846.0,2033.0,2052.0,16.0,748852.0,999810.0,842.0,0.0,684.0,66.0
び,926.0,CDP,23.72,1437.0,2203.0,2423.0,2448.0,18.0,787078.0,996870.0,494.0,0.0,816.0,14.0
&Delta;MAX,402.0,CDP,23.55,1073.0,1768.0,1948.0,1965.0,18.0,737524.0,998030.0,482.0,0.0,655.0,60.0
PARANOiA ～HADES～,251.0,EDP,23.55,966.0,1401.0,1539.0,1557.0,17.0,818860.0,999820.0,742.0,0.0,519.0,1.0
Catch Our Fire!,819.0,EDP,23.4,1369.0,1906.0,2091.0,2118.0,18.0,829055.0,999730.0,521.0,0.0,706.0,55.0
Boss Rush,787.0,EDP,23.37,1139.0,1841.0,2028.0,2046.0,16.0,761601.0,999820.0,721.0,0.0,682.0,11.0
Illegal Function Call,731.0,EDP,23.25,1075.0,1817.0,2003.0,2019.0,16.0,740254.0,999840.0,840.0,0.0,673.0,7.0
Lose Your Sense,1158.0,EDP,23.25,1410.0,1860.0,2036.0,2067.0,17.0,861874.0,999690.0,229.0,0.0,689.0,17.0
New York EVOLVED (Type A),465.0,EDP,23.15,1241.0,1695.0,1859.0,1884.0,16.0,842522.0,999750.0,526.0,0.0,628.0,30.0
"Reach The Sky, Without you",771.0,EDP,23.11,1111.0,1657.0,1823.0,1842.0,17.0,798315.0,999810.0,635.0,0.0,614.0,27.0
Concertino in Blue,1106.0,EDP,22.98,967.0,1358.0,1491.0,1509.0,16.0,832302.0,999820.0,257.0,0.0,503.0,12.0
Blew My Mind,560.0,EDP,22.97,1137.0,1601.0,1758.0,1779.0,16.0,830230.0,999790.0,625.0,0.0,593.0,14.0
伐折羅-vajra-,1182.0,CSP,22.88,1492.0,2430.0,2678.0,2700.0,18.0,757184.0,999350.0,538.0,0.0,900.0,9.0
トランスダンスアナーキー,1228.0,CDP,22.8,1776.0,2554.0,2807.0,2838.0,18.0,813541.0,998870.0,90.0,0.0,946.0,51.0
